created_at,favorite_count,followers_count,friends_count,retweet_count,screen_name,text
Thu Feb 15 02:30:26 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/WkS7mcCXi8
Thu Feb 15 02:30:17 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/orwBz5ciuC
Thu Feb 15 02:30:10 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/Gqlxujfw4Z
Thu Feb 15 02:30:03 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/obfkRcqlTC
Thu Feb 15 02:29:56 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/6zDUq4aIZo
Thu Feb 15 02:29:47 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/T3sXcqZicz
Thu Feb 15 02:29:40 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/KQkYJCliPi
Thu Feb 15 02:29:31 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/HP6lcyN446
Thu Feb 15 02:29:22 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/GWrXFpBQmZ
Thu Feb 15 02:29:14 +0000 2018,0,117,407,0,exposingurliesX,#stopbullying #stopbullies #stopbullying #stopdefaming #stopdefamation #stoplying #nomorelies #stopmaxxvitalement… https://t.co/ATS2FzaQIl
